#contig,contig_reassign,bases_hap_dip,bases_low_high,bases_all,perc_low_coverage,perc_hap_coverage,perc_dip_coverage,perc_high_coverage
NW_020537758.1.TD_984,s,61680,735,62415,1.178,98.822,0.000,0.000
NW_020536999.1.TD_1959,s,62005,407,62412,0.652,99.348,0.000,0.000
NW_020539726.1.TD_188,s,48632,13328,61960,21.511,78.489,0.000,0.000
NW_020539726.1.TD_189,s,58713,3697,62410,5.924,94.076,0.000,0.000
NW_020537646.1.TD_11,s,62285,85,62370,0.136,99.864,0.000,0.000
NW_020539658.1.TD_1,s,60529,1825,62354,2.927,97.073,0.000,0.000
NW_020536999.1.TD_1655,s,57948,4404,62352,7.063,90.178,2.759,0.000
NW_020536999.1.TD_337,s,61059,1270,62329,2.038,97.962,0.000,0.000
NW_020537758.1.TD_412,s,60748,1571,62319,2.521,97.479,0.000,0.000
NW_020536999.1.TD_662,s,62295,0,62295,0.000,100.000,0.000,0.000
NW_020536999.1.TD_1578,s,56188,6104,62292,9.799,90.201,0.000,0.000
NW_020536999.1.TD_1614,s,62220,54,62274,0.087,99.913,0.000,0.000
NW_020536999.1.TD_801,s,56978,5220,62198,8.393,91.607,0.000,0.000
NW_020536999.1.TD_1591,s,61326,879,62205,1.413,70.072,28.515,0.000
NW_020537758.1.TD_413,s,60511,1646,62157,2.648,97.352,0.000,0.000
NW_020539726.1.TD_321,s,55980,6166,62146,9.922,90.078,0.000,0.000
NW_020538040.1.TD_1132,s,58542,3644,62186,5.860,90.607,3.533,0.000
NW_020539725.1.TD_193,s,61287,847,62134,1.363,98.637,0.000,0.000
NW_020536999.1.TD_1208,s,55921,6200,62121,9.981,90.019,0.000,0.000
NW_020539726.1.TD_249,s,62055,2,62057,0.003,99.997,0.000,0.000
NW_020536999.1.TD_508,s,61894,175,62069,0.282,99.718,0.000,0.000
NW_020539725.1.TD_487,s,62027,0,62027,0.000,100.000,0.000,0.000
NW_020538040.1.TD_1099,s,57801,4218,62019,6.801,89.342,3.857,0.000
NW_020536999.1.TD_1603,s,58604,3393,61997,5.473,42.168,52.359,0.000
NW_020539725.1.TD_289,s,56595,5395,61990,8.703,91.297,0.000,0.000
NW_020538741.1.TD_2,s,60025,1951,61976,3.148,96.852,0.000,0.000
NW_020538040.1.TD_711,s,54900,7074,61974,11.414,88.586,0.000,0.000
NW_020538040.1.TD_2186,s,60656,1293,61949,2.087,97.913,0.000,0.000
NW_020538342.1.TD_1,s,53695,8260,61955,3.380,71.260,15.408,9.952
NW_020537324.1.TD_902,s,61917,3,61920,0.005,96.452,3.543,0.000
NW_020538040.1.TD_404,s,61852,0,61852,0.000,91.755,8.245,0.000
NW_020537646.1.TD_612,s,46140,15700,61840,25.388,74.612,0.000,0.000
NW_020538040.1.TD_1032,s,60436,1398,61834,2.261,95.295,2.444,0.000
NW_020536999.1.TD_909,s,57684,4139,61823,6.695,93.305,0.000,0.000
NW_020539725.1.TD_752,s,58207,3613,61820,5.844,93.593,0.563,0.000
NW_020538040.1.TD_2594,s,58989,2817,61806,4.558,95.442,0.000,0.000
NW_020539725.1.TD_563,s,58840,2937,61777,4.754,95.246,0.000,0.000
NW_020537324.1.TD_606,s,60451,1343,61794,2.173,97.827,0.000,0.000
NW_020539726.1.TD_937,s,61804,1,61805,0.002,99.998,0.000,0.000
NW_020538040.1.TD_111,s,60867,875,61742,1.417,98.583,0.000,0.000
NW_020536999.1.TD_1124,s,55955,5728,61683,9.286,90.714,0.000,0.000
NW_020537646.1.TD_114,s,56257,5356,61613,8.693,91.307,0.000,0.000
NW_020537324.1.TD_554,s,61531,92,61623,0.149,99.851,0.000,0.000
NW_020536999.1.TD_1576,s,58537,3065,61602,4.975,95.025,0.000,0.000
NW_020537324.1.TD_1137,s,59558,2019,61577,3.279,96.721,0.000,0.000
NW_020539727.1.TD_109,s,55938,5621,61559,9.131,90.869,0.000,0.000
NW_020539725.1.TD_558,s,57150,4414,61564,7.170,92.830,0.000,0.000
NW_020539724.1.TD_128,s,57746,3801,61547,6.176,93.824,0.000,0.000
NW_020537324.1.TD_522,s,58828,2714,61542,4.410,95.590,0.000,0.000
NW_020537324.1.TD_511,s,57672,3857,61529,6.269,93.731,0.000,0.000
NW_020536999.1.TD_1233,s,58169,3362,61531,5.464,94.536,0.000,0.000
NW_020538040.1.TD_1972,s,57145,4380,61525,7.119,92.826,0.055,0.000
NW_020536999.1.TD_1680,s,57997,3512,61509,5.710,94.290,0.000,0.000
NW_020536999.1.TD_1504,s,59195,2314,61509,3.762,79.278,16.960,0.000
NW_020536999.1.TD_866,s,59371,2097,61468,3.412,96.588,0.000,0.000
NW_020537758.1.TD_694,s,54157,7325,61482,11.914,88.086,0.000,0.000
NW_020536999.1.TD_671,s,57993,3431,61424,5.586,91.181,3.233,0.000
NW_020538040.1.TD_1794,s,58739,2681,61420,4.365,95.635,0.000,0.000
NW_020539726.1.TD_334,s,50914,10463,61377,17.047,80.602,2.351,0.000
NW_020539582.1.TD_2,s,60488,891,61379,1.452,98.548,0.000,0.000
NW_020536999.1.TD_1286,s,55625,5749,61374,9.367,90.633,0.000,0.000
NW_020538040.1.TD_2323,s,61120,171,61291,0.279,99.721,0.000,0.000
NW_020537324.1.TD_538,s,59264,2109,61373,3.436,96.155,0.409,0.000
NW_020537324.1.TD_728,s,54870,6387,61257,10.427,89.573,0.000,0.000
NW_020538040.1.TD_2603,s,59489,1796,61285,2.931,97.069,0.000,0.000
NW_020537646.1.TD_307,s,61232,6,61238,0.010,99.990,0.000,0.000
NW_020538040.1.TD_1039,s,59836,1401,61237,2.288,97.712,0.000,0.000
NW_020537646.1.TD_559,s,61006,247,61253,0.403,99.597,0.000,0.000
NW_020539725.1.TD_882,s,61199,0,61199,0.000,100.000,0.000,0.000
NW_020539725.1.TD_791,s,58618,2557,61175,4.180,95.820,0.000,0.000
NW_020538481.1.TD_1,s,56067,3319,59386,5.589,77.665,16.746,0.000
NW_020537324.1.TD_424,s,55299,5856,61155,9.576,90.424,0.000,0.000
NW_020538432.1.TD_1,s,55471,5606,61077,9.179,90.821,0.000,0.000
NW_020538040.1.TD_908,s,48653,12421,61074,20.338,79.662,0.000,0.000
NW_020538363.1.TD_1,s,60233,845,61078,1.383,80.245,18.372,0.000
NW_020537758.1.TD_1040,s,56226,4839,61065,7.924,92.076,0.000,0.000
NW_020537646.1.TD_735,s,56994,4057,61051,6.645,93.355,0.000,0.000
NW_020537324.1.TD_315,s,56143,4902,61045,8.030,91.970,0.000,0.000
NW_020537646.1.TD_393,s,58600,2400,61000,3.934,96.066,0.000,0.000
NW_020538298.1.TD_1,s,60055,988,61043,1.619,98.381,0.000,0.000
NW_020539724.1.TD_254,s,55412,5571,60983,9.135,90.865,0.000,0.000
NW_020537324.1.TD_126,s,59836,1115,60951,1.829,92.228,5.942,0.000
NW_020537758.1.TD_115,s,60441,493,60934,0.809,99.191,0.000,0.000
NW_020538040.1.TD_2428,s,54491,6449,60940,10.583,89.417,0.000,0.000
NW_020537758.1.TD_351,s,54186,6724,60910,11.039,88.961,0.000,0.000
NW_020537646.1.TD_819,s,59917,965,60882,1.585,98.412,0.003,0.000
NW_020537324.1.TD_999,s,51369,9511,60880,15.623,84.377,0.000,0.000
NW_020537758.1.TD_455,s,56511,4350,60861,7.147,92.853,0.000,0.000
NW_020538040.1.TD_2372,s,57224,3625,60849,5.957,94.043,0.000,0.000
NW_020538040.1.TD_2096,s,59015,1829,60844,3.006,96.994,0.000,0.000
NW_020537324.1.TD_1581,s,53495,7347,60842,12.076,87.924,0.000,0.000
NW_020538376.1.TD_1,s,56826,4011,60837,6.593,93.407,0.000,0.000
NW_020538040.1.TD_1290,s,56147,4680,60827,7.694,92.306,0.000,0.000
NW_020537758.1.TD_1161,s,58247,2568,60815,4.223,95.777,0.000,0.000
NW_020539725.1.TD_524,s,54351,6445,60796,10.601,89.399,0.000,0.000
NW_020538040.1.TD_2050,s,54782,5990,60772,9.857,90.143,0.000,0.000
NW_020538342.1.TD_5,s,54183,6628,60811,10.899,77.443,11.657,0.000
NW_020539725.1.TD_905,s,58710,2052,60762,3.377,96.623,0.000,0.000
NW_020537324.1.TD_1221,s,60195,515,60710,0.848,99.152,0.000,0.000
NW_020538040.1.TD_2524,s,58840,1911,60751,3.146,96.854,0.000,0.000
NW_020536999.1.TD_1978,s,60678,17,60695,0.028,99.972,0.000,0.000
NW_020539529.1.TD_2,s,55905,4764,60669,7.852,92.148,0.000,0.000
NW_020537758.1.TD_302,s,58751,1914,60665,3.155,96.845,0.000,0.000
NW_020538040.1.TD_2267,s,60063,587,60650,0.968,97.558,1.474,0.000
NW_020538040.1.TD_813,s,56512,4142,60654,6.829,93.171,0.000,0.000
NW_020538662.1.TD_1,s,56824,3831,60655,6.316,50.924,42.760,0.000
NW_020536999.1.TD_624,s,60585,58,60643,0.096,99.904,0.000,0.000
NW_020539726.1.TD_820,s,60231,414,60645,0.683,99.317,0.000,0.000
NW_020539727.1.TD_463,s,59765,882,60647,1.454,98.546,0.000,0.000
NW_020539726.1.TD_586,s,53255,7388,60643,12.183,87.817,0.000,0.000
NW_020537646.1.TD_616,s,50590,10052,60642,16.576,83.424,0.000,0.000
NW_020537324.1.TD_854,s,59338,1300,60638,2.144,97.856,0.000,0.000
NW_020539727.1.TD_253,s,56439,4186,60625,6.905,93.095,0.000,0.000
NW_020537646.1.TD_823,s,55939,4678,60617,7.717,92.283,0.000,0.000
NW_020539725.1.TD_727,s,60456,171,60627,0.282,99.718,0.000,0.000
NW_020538040.1.TD_1836,s,60077,535,60612,0.883,99.117,0.000,0.000
NW_020537758.1.TD_1160,s,60262,304,60566,0.502,99.498,0.000,0.000
NW_020538583.1.TD_2,s,56522,4005,60527,6.617,92.874,0.509,0.000
NW_020537324.1.TD_1004,s,60519,0,60519,0.000,100.000,0.000,0.000
NW_020538540.1.TD_1,s,59403,1153,60556,1.904,19.948,78.147,0.000
NW_020537758.1.TD_458,s,57799,2659,60458,4.398,95.602,0.000,0.000
NW_020537646.1.TD_381,s,57447,2990,60437,4.947,95.053,0.000,0.000
NW_020537646.1.TD_77,s,58745,1675,60420,2.772,97.228,0.000,0.000
NW_020537646.1.TD_560,s,56936,3480,60416,5.760,94.240,0.000,0.000
NW_020537646.1.TD_130,s,60412,2,60414,0.003,99.997,0.000,0.000
NW_020539725.1.TD_324,s,59343,1070,60413,1.771,95.635,2.594,0.000
NW_020537324.1.TD_1686,s,60396,0,60396,0.000,100.000,0.000,0.000
NW_020538040.1.TD_1378,s,54727,5665,60392,9.380,90.620,0.000,0.000
NW_020536999.1.TD_1150,s,54936,5452,60388,9.028,90.972,0.000,0.000
NW_020538040.1.TD_1643,s,60362,24,60386,0.040,99.960,0.000,0.000
NW_020537646.1.TD_1039,s,60384,2,60386,0.003,98.283,1.714,0.000
NW_020538040.1.TD_2174,s,53631,6727,60358,11.145,88.855,0.000,0.000
NW_020539725.1.TD_1347,s,60359,0,60359,0.000,100.000,0.000,0.000
NW_020538040.1.TD_1285,s,60339,0,60339,0.000,100.000,0.000,0.000
NW_020538040.1.TD_1645,s,56625,3670,60295,6.087,93.802,0.111,0.000
NW_020537324.1.TD_1109,s,55666,4631,60297,7.680,92.320,0.000,0.000
NW_020539726.1.TD_753,s,59625,669,60294,1.110,98.890,0.000,0.000
NW_020537646.1.TD_643,s,51763,8530,60293,14.148,85.852,0.000,0.000
NW_020538040.1.TD_1351,s,46403,13883,60286,23.029,76.971,0.000,0.000
NW_020538040.1.TD_1395,s,58337,1943,60280,3.223,96.777,0.000,0.000
NW_020536999.1.TD_52,s,52842,7433,60275,12.332,87.668,0.000,0.000
NW_020538040.1.TD_2472,s,46931,13300,60231,22.082,77.918,0.000,0.000
NW_020536999.1.TD_501,s,59022,1230,60252,2.041,93.950,4.008,0.000
NW_020538040.1.TD_169,s,53438,6824,60262,11.324,88.676,0.000,0.000
NW_020537324.1.TD_842,s,60230,0,60230,0.000,100.000,0.000,0.000
NW_020537324.1.TD_483,s,49669,10558,60227,17.530,82.470,0.000,0.000
NW_020538040.1.TD_1947,s,51591,8627,60218,14.326,85.674,0.000,0.000
NW_020539725.1.TD_219,s,54702,5505,60207,9.143,90.857,0.000,0.000
NW_020539726.1.TD_798,s,60190,0,60190,0.000,100.000,0.000,0.000
NW_020537758.1.TD_1,s,60062,110,60172,0.183,74.694,25.123,0.000
NW_020537324.1.TD_1564,s,56155,4016,60171,6.674,93.326,0.000,0.000
NW_020538785.1.TD_1,s,26129,34098,60227,3.258,30.075,13.310,53.358
NW_020537324.1.TD_909,s,58023,2139,60162,3.555,96.445,0.000,0.000
NW_020536428.1.TD_1,s,54355,5788,60143,9.624,78.084,12.292,0.000
NW_020537344.1.TD_1,s,55116,5017,60133,8.343,91.657,0.000,0.000
NW_020538040.1.TD_195,s,60084,0,60084,0.000,95.590,4.410,0.000
NW_020536999.1.TD_1640,s,59538,520,60058,0.866,99.134,0.000,0.000
NW_020538040.1.TD_845,s,54942,5136,60078,8.549,91.451,0.000,0.000
NW_020538040.1.TD_107,s,57950,2079,60029,3.463,96.537,0.000,0.000
NW_020537758.1.TD_727,s,49471,10553,60024,17.581,82.419,0.000,0.000
NW_020539725.1.TD_946,s,57354,2646,60000,4.410,95.590,0.000,0.000
NW_020537324.1.TD_425,s,57923,2040,59963,3.402,96.598,0.000,0.000
NW_020537646.1.TD_962,s,54690,5252,59942,8.762,91.238,0.000,0.000
NW_020537646.1.TD_388,s,50509,9420,59929,15.719,77.048,7.234,0.000
NW_020539725.1.TD_1360,s,55494,4504,59998,7.507,92.493,0.000,0.000
NW_020536999.1.TD_1088,s,55680,4246,59926,7.085,92.915,0.000,0.000
NW_020538040.1.TD_442,s,54385,5542,59927,9.248,90.752,0.000,0.000
NW_020538040.1.TD_2565,s,56784,3106,59890,5.186,94.814,0.000,0.000
NW_020538380.1.TD_1,s,58651,1230,59881,2.054,97.946,0.000,0.000
NW_020538040.1.TD_770,s,54888,4936,59824,8.251,91.749,0.000,0.000
NW_020537646.1.TD_300,s,58488,1326,59814,2.217,97.783,0.000,0.000
NW_020537646.1.TD_238,s,59876,0,59876,0.000,98.155,1.845,0.000
NW_020539726.1.TD_506,s,59519,294,59813,0.492,99.508,0.000,0.000
NW_020536999.1.TD_111,s,59811,0,59811,0.000,100.000,0.000,0.000
NW_020537324.1.TD_170,s,53473,4895,58368,8.386,91.614,0.000,0.000
NW_020537324.1.TD_1209,s,57125,2641,59766,4.419,95.581,0.000,0.000
NW_020536999.1.TD_1848,s,59170,585,59755,0.979,99.021,0.000,0.000
NW_020536206.1.TD_1,s,57480,2323,59803,3.884,93.015,3.100,0.000
NW_020537324.1.TD_1114,s,49229,10513,59742,17.597,82.403,0.000,0.000
NW_020539727.1.TD_141,s,51540,8188,59728,13.709,86.291,0.000,0.000
NW_020537324.1.TD_920,s,57854,1802,59656,3.021,96.979,0.000,0.000
NW_020536999.1.TD_856,s,56587,3036,59623,5.092,94.908,0.000,0.000
NW_020539726.1.TD_153,s,55883,3819,59702,6.397,93.603,0.000,0.000
NW_020538040.1.TD_2230,s,56358,3264,59622,5.474,94.526,0.000,0.000
NW_020538040.1.TD_1130,s,58277,1341,59618,2.249,97.751,0.000,0.000
NW_020539727.1.TD_336,s,50671,8941,59612,14.999,84.416,0.585,0.000
NW_020536999.1.TD_72,s,55312,4284,59596,7.188,92.812,0.000,0.000
NW_020537758.1.TD_770,s,55586,3986,59572,6.691,93.309,0.000,0.000
NW_020536999.1.TD_105,s,59577,2,59579,0.003,99.997,0.000,0.000
NW_020536999.1.TD_1410,s,53966,5591,59557,9.388,90.612,0.000,0.000
NW_020537324.1.TD_796,s,57324,2220,59544,3.728,96.272,0.000,0.000
NW_020536999.1.TD_1068,s,52639,6858,59497,11.527,88.473,0.000,0.000
NW_020537324.1.TD_1454,s,58494,1017,59511,1.709,98.291,0.000,0.000
NW_020538040.1.TD_680,s,56045,3461,59506,5.816,71.806,22.378,0.000
NW_020536999.1.TD_1167,s,55004,4472,59476,7.519,92.481,0.000,0.000
NW_020539724.1.TD_25,s,56010,3466,59476,5.828,94.172,0.000,0.000
NW_020537758.1.TD_679,s,58540,928,59468,1.561,98.439,0.000,0.000
NW_020539727.1.TD_165,s,55934,3509,59443,5.903,91.573,2.523,0.000
NW_020537758.1.TD_217,s,59462,0,59462,0.000,100.000,0.000,0.000
NW_020537646.1.TD_532,s,56236,3119,59355,5.255,94.745,0.000,0.000
NW_020537758.1.TD_868,s,54964,4367,59331,7.360,92.640,0.000,0.000
NW_020538883.1.TD_1,s,59290,139,59429,0.234,94.558,5.208,0.000
NW_020537646.1.TD_590,s,58775,552,59327,0.930,99.070,0.000,0.000
NW_020538587.1.TD_1,s,58894,394,59288,0.665,77.950,21.385,0.000
NW_020539725.1.TD_873,s,50968,8308,59276,14.016,85.984,0.000,0.000
NW_020538040.1.TD_1440,s,56975,2302,59277,3.883,94.963,1.154,0.000
NW_020539725.1.TD_606,s,59283,0,59283,0.000,100.000,0.000,0.000
NW_020536999.1.TD_745,s,54373,4876,59249,8.230,91.770,0.000,0.000
NW_020539725.1.TD_478,s,52601,6657,59258,11.234,86.127,2.639,0.000
NW_020537646.1.TD_232,s,56620,2643,59263,4.460,95.540,0.000,0.000
NW_020539727.1.TD_5,s,59226,0,59226,0.000,100.000,0.000,0.000
NW_020538040.1.TD_1337,s,55243,3981,59224,6.722,93.278,0.000,0.000
NW_020539726.1.TD_807,s,54281,4941,59222,8.343,91.657,0.000,0.000
NW_020536999.1.TD_1731,s,57741,1476,59217,2.493,97.507,0.000,0.000
NW_020538040.1.TD_1951,s,56705,2511,59216,4.240,95.760,0.000,0.000
NW_020536999.1.TD_2007,s,52864,6321,59185,10.680,89.320,0.000,0.000
NW_020539724.1.TD_508,s,51826,7332,59158,12.394,87.606,0.000,0.000
NW_020539353.1.TD_3,s,49222,9985,59207,16.865,75.604,7.531,0.000
NW_020539725.1.TD_1096,s,58056,1128,59184,1.906,98.094,0.000,0.000
NW_020537758.1.TD_1142,s,53327,5821,59148,9.841,90.159,0.000,0.000
NW_020537646.1.TD_971,s,59094,51,59145,0.086,99.914,0.000,0.000
NW_020539727.1.TD_470,s,55353,3773,59126,6.381,93.619,0.000,0.000
NW_020536999.1.TD_732,s,52180,6960,59140,11.769,86.610,1.622,0.000
NW_020537646.1.TD_113,s,48324,380,48704,0.780,99.220,0.000,0.000
NW_020537324.1.TD_1274,s,57333,1775,59108,3.003,96.997,0.000,0.000
NW_020539726.1.TD_644,s,50752,8305,59057,14.063,85.937,0.000,0.000
NW_020539726.1.TD_763,s,59056,0,59056,0.000,100.000,0.000,0.000
NW_020538549.1.TD_1,s,54805,4229,59034,7.164,92.836,0.000,0.000
NW_020539725.1.TD_79,s,55943,3020,58963,5.122,94.878,0.000,0.000
NW_020538040.1.TD_53,s,58443,563,59006,0.954,99.046,0.000,0.000
NW_020537324.1.TD_420,s,58790,214,59004,0.363,99.637,0.000,0.000
NW_020537646.1.TD_871,s,58125,822,58947,1.394,98.606,0.000,0.000
NW_020537758.1.TD_311,s,57830,1064,58894,1.807,98.193,0.000,0.000
NW_020536999.1.TD_1587,s,58926,2,58928,0.003,99.997,0.000,0.000
NW_020536578.1.TD_1,s,57658,1215,58873,2.064,97.936,0.000,0.000
NW_020536999.1.TD_1202,s,55314,3552,58866,6.034,93.966,0.000,0.000
NW_020538040.1.TD_2420,s,52636,6230,58866,10.583,89.417,0.000,0.000
NW_020537646.1.TD_115,s,52265,6570,58835,11.167,88.833,0.000,0.000
NW_020538351.1.TD_1,s,58167,680,58847,1.156,68.911,29.934,0.000
NW_020536999.1.TD_709,s,51474,7300,58774,12.420,87.580,0.000,0.000
NW_020538040.1.TD_2361,s,53920,4845,58765,8.245,91.755,0.000,0.000
NW_020537324.1.TD_987,s,58589,164,58753,0.279,99.721,0.000,0.000
NW_020538040.1.TD_1338,s,49960,8789,58749,14.960,85.040,0.000,0.000
NW_020539726.1.TD_467,s,54240,4503,58743,7.666,92.334,0.000,0.000
NW_020538040.1.TD_2657,s,55158,3667,58825,1.459,85.618,8.148,4.775
NW_020536999.1.TD_849,s,57479,1246,58725,2.122,97.878,0.000,0.000
NW_020538040.1.TD_1318,s,57353,1383,58736,2.355,97.645,0.000,0.000
NW_020537500.1.TD_1,s,58693,0,58693,0.000,100.000,0.000,0.000
NW_020538040.1.TD_2070,s,58675,13,58688,0.022,99.978,0.000,0.000
NW_020537758.1.TD_1144,s,57348,1298,58646,2.213,97.787,0.000,0.000
NW_020537324.1.TD_1442,s,58491,165,58656,0.281,99.719,0.000,0.000
NW_020536999.1.TD_1224,s,55646,2980,58626,5.083,94.917,0.000,0.000
NW_020538040.1.TD_1384,s,53867,4741,58608,8.089,91.911,0.000,0.000
NW_020539725.1.TD_588,s,56812,1813,58625,3.093,89.752,7.156,0.000
NW_020537758.1.TD_427,s,53578,5012,58590,8.554,91.446,0.000,0.000
NW_020539725.1.TD_1144,s,57393,1144,58537,1.954,98.046,0.000,0.000
NW_020539725.1.TD_403,s,51009,7484,58493,12.795,86.939,0.267,0.000
NW_020537758.1.TD_1194,s,58404,84,58488,0.144,99.807,0.050,0.000
NW_020537324.1.TD_948,s,55565,2990,58555,5.106,94.894,0.000,0.000
NW_020536999.1.TD_1418,s,54640,3835,58475,6.558,93.442,0.000,0.000
NW_020536999.1.TD_1456,s,52483,5988,58471,10.241,89.759,0.000,0.000
NW_020537758.1.TD_1045,s,57921,506,58427,0.866,99.134,0.000,0.000
NW_020537324.1.TD_702,s,55088,3382,58470,5.784,94.216,0.000,0.000
NW_020538040.1.TD_1694,s,58440,1,58441,0.002,99.998,0.000,0.000
NW_020539726.1.TD_84,s,58155,263,58418,0.450,99.550,0.000,0.000
NW_020539725.1.TD_540,s,47738,10664,58402,18.260,81.740,0.000,0.000
NW_020538040.1.TD_253,s,58409,0,58409,0.000,100.000,0.000,0.000
NW_020537649.1.TD_7,s,51399,6992,58391,11.974,88.026,0.000,0.000
NW_020538040.1.TD_132,s,58335,0,58335,0.000,100.000,0.000,0.000
NW_020538040.1.TD_2471,s,51820,6506,58326,11.155,88.845,0.000,0.000
NW_020539204.1.TD_4,s,53574,4756,58330,8.154,91.846,0.000,0.000
NW_020537324.1.TD_616,s,46551,11751,58302,20.155,79.845,0.000,0.000
NW_020537324.1.TD_872,s,57806,504,58310,0.864,98.589,0.547,0.000
NW_020536999.1.TD_1560,s,51892,6429,58321,11.023,88.977,0.000,0.000
NW_020537758.1.TD_1141,s,54364,3927,58291,6.737,93.263,0.000,0.000
NW_020537758.1.TD_1068,s,56647,1640,58287,2.814,97.186,0.000,0.000
NW_020537324.1.TD_881,s,58251,0,58251,0.000,100.000,0.000,0.000
NW_020539725.1.TD_617,s,56491,1742,58233,2.991,97.009,0.000,0.000
NW_020536999.1.TD_592,s,55611,2557,58168,4.396,95.604,0.000,0.000
NW_020539868.1.TD_1,s,54545,3698,58243,6.349,93.651,0.000,0.000
NW_020536358.1.TD_3,s,55753,2359,58112,4.059,95.941,0.000,0.000
NW_020539725.1.TD_928,s,57096,982,58078,1.691,98.309,0.000,0.000
NW_020536999.1.TD_524,s,52075,6037,58112,10.389,89.611,0.000,0.000
NW_020536999.1.TD_765,s,53312,4757,58069,8.192,91.808,0.000,0.000
NW_020539725.1.TD_291,s,56103,1967,58070,3.387,96.613,0.000,0.000
NW_020539884.1.TD_2,s,47943,3740,51683,7.236,72.925,19.838,0.000
NW_020537758.1.TD_695,s,56251,1774,58025,3.057,96.943,0.000,0.000
NW_020536999.1.TD_42,s,56974,1029,58003,1.774,98.226,0.000,0.000
NW_020538040.1.TD_568,s,58021,0,58021,0.000,100.000,0.000,0.000
NW_020536999.1.TD_1341,s,53979,4018,57997,6.928,93.072,0.000,0.000
NW_020537646.1.TD_911,s,52780,5219,57999,8.998,91.002,0.000,0.000
NW_020537324.1.TD_446,s,55223,2780,58003,4.793,95.207,0.000,0.000
NW_020539725.1.TD_1354,s,54394,3567,57961,6.154,93.846,0.000,0.000
NW_020538040.1.TD_1087,s,43687,14264,57951,24.614,75.386,0.000,0.000
NW_020538040.1.TD_1119,s,55805,2082,57887,3.597,94.728,1.676,0.000
NW_020539725.1.TD_448,s,57883,1,57884,0.002,99.998,0.000,0.000
NW_020538838.1.TD_3,s,49660,8199,57859,14.171,85.829,0.000,0.000
NW_020539727.1.TD_529,s,57838,2,57840,0.003,99.997,0.000,0.000
NW_020539725.1.TD_719,s,57858,0,57858,0.000,94.136,5.864,0.000
NW_020538040.1.TD_469,s,44119,13694,57813,23.687,76.313,0.000,0.000
NW_020539726.1.TD_745,s,56332,1479,57811,2.558,97.442,0.000,0.000
NW_020539724.1.TD_14,s,56539,1270,57809,2.197,97.803,0.000,0.000
NW_020537324.1.TD_936,s,57244,554,57798,0.959,99.041,0.000,0.000
NW_020537758.1.TD_744,s,56819,981,57800,1.697,95.071,3.232,0.000
NW_020537324.1.TD_1258,s,56813,944,57757,1.634,98.366,0.000,0.000
NW_020539725.1.TD_631,s,54976,2789,57765,4.828,95.172,0.000,0.000
NW_020538040.1.TD_1986,s,50878,6917,57795,11.968,88.032,0.000,0.000
NW_020537646.1.TD_539,s,48608,9146,57754,15.836,84.164,0.000,0.000
NW_020537646.1.TD_903,s,57252,497,57749,0.861,99.139,0.000,0.000
NW_020538040.1.TD_279,s,55260,2409,57669,4.177,95.823,0.000,0.000
NW_020536999.1.TD_144,s,57702,0,57702,0.000,100.000,0.000,0.000
NW_020539726.1.TD_42,s,50441,7223,57664,12.526,87.474,0.000,0.000
NW_020537324.1.TD_1418,s,53342,4320,57662,7.492,92.508,0.000,0.000
NW_020539726.1.TD_701,s,56899,758,57657,1.315,98.685,0.000,0.000
NW_020537646.1.TD_1042,s,51768,5890,57658,10.215,89.785,0.000,0.000
NW_020537758.1.TD_109,s,55328,2326,57654,4.034,95.966,0.000,0.000
NW_020537324.1.TD_843,s,56335,1256,57591,2.181,97.819,0.000,0.000
NW_020538615.1.TD_1,s,46418,10761,57179,18.820,81.180,0.000,0.000
NW_020538387.1.TD_1,s,52392,5171,57563,8.983,91.017,0.000,0.000
NW_020536853.1.TD_1,s,56357,1198,57555,2.081,97.919,0.000,0.000
NW_020537646.1.TD_392,s,48382,9164,57546,15.925,84.075,0.000,0.000
NW_020538040.1.TD_289,s,55609,1945,57554,3.379,96.621,0.000,0.000
NW_020537646.1.TD_1066,s,55994,1544,57538,2.683,97.317,0.000,0.000
NW_020537324.1.TD_612,s,56830,712,57542,1.237,98.763,0.000,0.000
NW_020537646.1.TD_410,s,56577,940,57517,1.634,98.366,0.000,0.000
NW_020539725.1.TD_383,s,54056,3435,57491,5.975,94.025,0.000,0.000
NW_020539280.1.TD_1,s,45600,11876,57476,20.663,50.014,29.324,0.000
NW_020538040.1.TD_1815,s,56252,1221,57473,2.124,97.876,0.000,0.000
NW_020539725.1.TD_431,s,53424,4052,57476,7.050,92.950,0.000,0.000
NW_020537758.1.TD_493,s,57451,0,57451,0.000,100.000,0.000,0.000
NW_020538040.1.TD_172,s,56723,712,57435,1.240,98.760,0.000,0.000
NW_020537646.1.TD_491,s,50890,6556,57446,11.412,88.588,0.000,0.000
NW_020536442.1.TD_1,s,49643,7783,57426,13.553,86.447,0.000,0.000
NW_020539727.1.TD_511,s,49016,8374,57390,14.591,85.409,0.000,0.000
NW_020539725.1.TD_374,s,52502,4924,57426,8.575,91.425,0.000,0.000
NW_020537378.1.TD_1,s,56369,1038,57407,1.808,97.549,0.643,0.000
NW_020536999.1.TD_1127,s,54250,3128,57378,5.452,94.548,0.000,0.000
NW_020537758.1.TD_1120,s,54268,3091,57359,5.389,94.611,0.000,0.000
NW_020537763.1.TD_1,s,54186,3170,57356,5.527,94.473,0.000,0.000
